  CODE BEGUN..........................

  Simulation Parameters are nx, ny, dx, dy, w, errormax,tmax, dt, Re 
         130         130   7.69230770E-03   7.69230770E-03   1.79999995       9.99999997E-07   5.00000000       1.00000005E-03   100.000000    

 Initialising the domain ..........................

 Initiating Calculations ..........................

 time,  Error_x-AD,  Error_y-AD,  Error_PPE
  0.352999002       8.75443220E-07   1.78813934E-07   9.99309123E-07
  0.353998989       8.71717930E-07   1.78813934E-07   9.99309123E-07
  0.354998976       8.71717930E-07   2.08616257E-07   9.92789865E-07
  0.355998963       8.71717930E-07   2.08616257E-07   9.99309123E-07
  0.356998950       8.75443220E-07   1.78813934E-07   9.96515155E-07
  0.357998937       8.67992640E-07   2.08616257E-07   9.96515155E-07
  0.358998924       8.67992640E-07   1.49011612E-07   9.92789865E-07
  0.359998912       8.67992640E-07   1.78813934E-07   9.98377800E-07
  0.360998899       8.71717930E-07   1.78813934E-07   9.81992343E-07
  0.361998886       8.67992640E-07   1.49011612E-07   9.86088708E-07
  0.362998873       8.75443220E-07   1.49011612E-07   9.87975909E-07
  0.363998860       8.71717930E-07   2.08616257E-07   9.91614797E-07
  0.364998847       8.64267349E-07   1.49011612E-07   9.96398740E-07
  0.365998834       8.67992640E-07   1.78813934E-07   9.93445610E-07
  0.366998821       8.67992640E-07   1.49011612E-07   9.95758455E-07
  0.367998809       8.75443220E-07   2.08616257E-07   9.91815796E-07
  0.368998796       8.67992640E-07   1.49011612E-07   9.93575668E-07
  0.369998783       8.67992640E-07   2.38418579E-07   9.91371053E-07
  0.370998770       8.64267349E-07   1.78813934E-07   9.99541953E-07
  0.371998757       8.67992640E-07   2.08616257E-07   9.92760761E-07
