           1   4.000000       2.500000             102          62
 
 Time  U   V  P
   102.1688     -0.2922383     -0.5746980       3.622253    
   102.1738     -0.2941965     -0.5734714       3.622504    
   102.1788     -0.2961409     -0.5722054       3.622742    
   102.1838     -0.2980702     -0.5709012       3.622959    
   102.1888     -0.2999842     -0.5695579       3.623162    
   102.1938     -0.3018818     -0.5681765       3.623344    
   102.1988     -0.3037655     -0.5667500       3.623530    
   102.2038     -0.3056322     -0.5652834       3.623687    
   102.2088     -0.3074841     -0.5637711       3.623853    
   102.2138     -0.3093153     -0.5622242       3.623984    
   102.2188     -0.3111284     -0.5606355       3.624121    
   102.2238     -0.3129215     -0.5590070       3.624237    
   102.2288     -0.3146939     -0.5573386       3.624333    
   102.2338     -0.3164455     -0.5556280       3.624408    
   102.2388     -0.3181749     -0.5538779       3.624459    
   102.2438     -0.3198821     -0.5520862       3.624493    
   102.2488     -0.3215649     -0.5502573       3.624508    
   102.2538     -0.3232247     -0.5483862       3.624506    
   102.2588     -0.3248598     -0.5464756       3.624492    
   102.2638     -0.3264715     -0.5445217       3.624462    
   102.2688     -0.3280585     -0.5425261       3.624429    
   102.2738     -0.3296177     -0.5404952       3.624394    
   102.2787     -0.3311502     -0.5384240       3.624338    
   102.2837     -0.3326561     -0.5363111       3.624262    
   102.2887     -0.3341335     -0.5341594       3.624173    
   102.2937     -0.3355818     -0.5319690       3.624064    
   102.2987     -0.3370007     -0.5297381       3.623927    
   102.3037     -0.3383883     -0.5274711       3.623777    
   102.3087     -0.3397469     -0.5251603       3.623577    
   102.3137     -0.3410720     -0.5228167       3.623396    
   102.3187     -0.3423654     -0.5204331       3.623157    
   102.3237     -0.3436269     -0.5180089       3.622885    
   102.3287     -0.3448541     -0.5155506       3.622624    
   102.3337     -0.3460483     -0.5130519       3.622301    
   102.3387     -0.3472078     -0.5105178       3.621978    
   102.3437     -0.3483327     -0.5079463       3.621615    
   102.3487     -0.3494225     -0.5053378       3.621225    
   102.3537     -0.3504760     -0.5026947       3.620820    
   102.3587     -0.3514935     -0.5000150       3.620362    
   102.3637     -0.3524745     -0.4972993       3.619873    
   102.3687     -0.3534180     -0.4945497       3.619370    
